municip_code_ibge,year,months_suitable
3201001,2017,12
3201001,2018,12
3201001,2019,12
3201001,2020,12
3201100,2001,12
3201100,2002,12
3201100,2003,12
3201100,2004,12
3201100,2005,12
3201100,2006,12
3201100,2007,12
3201100,2008,12
3201100,2009,12
3201100,2010,11
3201100,2011,12
3201100,2012,12
3201100,2013,12
3201100,2014,12
3201100,2015,12
3201100,2016,12
3201100,2017,12
3201100,2018,12
3201100,2019,12
3201100,2020,12
3201159,2001,9
3201159,2002,12
3201159,2003,10
3201159,2004,9
3201159,2005,10
3201159,2006,7
3201159,2007,9
3201159,2008,10
3201159,2009,10
3201159,2010,9
3201159,2011,9
3201159,2012,10
3201159,2013,10
3201159,2014,10
3201159,2015,12
3201159,2016,11
3201159,2017,10
3201159,2018,11
3201159,2019,11
3201159,2020,11
3201209,2001,12
3201209,2002,12
3201209,2003,12
3201209,2004,12
3201209,2005,12
3201209,2006,12
3201209,2007,12
3201209,2008,12
3201209,2009,12
3201209,2010,12
3201209,2011,12
3201209,2012,12
3201209,2013,12
3201209,2014,12
3201209,2015,12
3201209,2016,12
3201209,2017,12
3201209,2018,12
3201209,2019,12
3201209,2020,12
3201308,2001,12
3201308,2002,12
3201308,2003,12
3201308,2004,12
3201308,2005,12
3201308,2006,12
3201308,2007,12
3201308,2008,12
3201308,2009,12
3201308,2010,12
3201308,2011,12
3201308,2012,12
3201308,2013,12
3201308,2014,12
3201308,2015,12
3201308,2016,12
3201308,2017,12
3201308,2018,12
3201308,2019,12
3201308,2020,12
3201407,2001,12
3201407,2002,12
3201407,2003,11
3201407,2004,9
3201407,2005,11
3201407,2006,10
3201407,2007,12
3201407,2008,10
3201407,2009,11
3201407,2010,10
3201407,2011,10
3201407,2012,11
3201407,2013,12
3201407,2014,10
3201407,2015,12
3201407,2016,11
3201407,2017,11
3201407,2018,12
3201407,2019,12
3201407,2020,12
3201506,2001,12
3201506,2002,12
3201506,2003,12
3201506,2004,12
3201506,2005,12
3201506,2006,12
3201506,2007,12
3201506,2008,12
3201506,2009,12
3201506,2010,12
3201506,2011,12
3201506,2012,12
3201506,2013,12
3201506,2014,12
3201506,2015,12
3201506,2016,12
3201506,2017,12
3201506,2018,12
3201506,2019,12
3201506,2020,12
3201605,2001,12
3201605,2002,12
3201605,2003,12
3201605,2004,12
3201605,2005,12
3201605,2006,12
3201605,2007,12
3201605,2008,12
3201605,2009,12
3201605,2010,12
3201605,2011,12
3201605,2012,12
3201605,2013,12
3201605,2014,12
3201605,2015,12
3201605,2016,12
3201605,2017,12
3201605,2018,12
3201605,2019,12
3201605,2020,12
3201704,2001,9
3201704,2002,11
3201704,2003,10
3201704,2004,9
3201704,2005,10
3201704,2006,8
3201704,2007,8
3201704,2008,10
3201704,2009,9
3201704,2010,9
3201704,2011,8
3201704,2012,9
3201704,2013,10
3201704,2014,9
3201704,2015,10
3201704,2016,10
3201704,2017,10
3201704,2018,10
3201704,2019,10
3201704,2020,10
3201803,2001,8
3201803,2002,9
3201803,2003,8
3201803,2004,8
3201803,2005,9
3201803,2006,7
3201803,2007,8
3201803,2008,7
3201803,2009,8
3201803,2010,8
3201803,2011,7
3201803,2012,8
3201803,2013,8
3201803,2014,8
3201803,2015,8
3201803,2016,9
3201803,2017,8
3201803,2018,8
3201803,2019,9
3201803,2020,8
3201902,2001,8
