state_code,state_name,year,month,tmean
12,Acre,2008,11,25.3812244588679
12,Acre,2008,12,24.9074291749434
12,Acre,2009,1,24.8327515342019
12,Acre,2009,2,24.8672144629739
12,Acre,2009,3,24.6963642293757
12,Acre,2009,4,24.305665362965
12,Acre,2009,5,24.3414830294523
12,Acre,2009,6,23.2671011144465
12,Acre,2009,7,23.9178470264782
12,Acre,2009,8,25.7271273352883
12,Acre,2009,9,26.3641011498191
12,Acre,2009,10,26.4983494498513
12,Acre,2009,11,26.1876066381281
12,Acre,2009,12,25.2161824486472
12,Acre,2010,1,25.7377528277311
12,Acre,2010,2,25.9530398628929
12,Acre,2010,3,25.9487185911699
12,Acre,2010,4,25.8117433894764
12,Acre,2010,5,24.3623995347456
12,Acre,2010,6,24.9208041104404
12,Acre,2010,7,24.4141406145963
12,Acre,2010,8,26.6773544658314
12,Acre,2010,9,27.1982076818293
12,Acre,2010,10,26.0312751423229
12,Acre,2010,11,25.1232622320002
12,Acre,2010,12,25.3936408649791
12,Acre,2011,1,25.0008446953513
12,Acre,2011,2,24.6258546655828
12,Acre,2011,3,24.5584508722479
12,Acre,2011,4,24.6086764769121
12,Acre,2011,5,24.1563332297585
12,Acre,2011,6,24.5786023573442
12,Acre,2011,7,24.9416956468062
12,Acre,2011,8,25.6955802223899
12,Acre,2011,9,26.2009258270264
12,Acre,2011,10,25.4200333681974
12,Acre,2011,11,25.5541370565241
12,Acre,2011,12,24.9991445541382
12,Acre,2012,1,24.7629819349809
12,Acre,2012,2,24.3861954428933
12,Acre,2012,3,24.6010276621038
12,Acre,2012,4,24.7162678458474
12,Acre,2012,5,24.176235112277
12,Acre,2012,6,23.6451365730979
12,Acre,2012,7,24.1702089309693
12,Acre,2012,8,25.9520588788119
12,Acre,2012,9,26.4933035590432
12,Acre,2012,10,25.6403462670066
12,Acre,2012,11,25.6194558577104
12,Acre,2012,12,24.908017245206
12,Acre,2013,1,25.1493466117165
12,Acre,2013,2,24.9053880518133
12,Acre,2013,3,25.018461747603
12,Acre,2013,4,25.1687236265703
12,Acre,2013,5,24.6386661529541
12,Acre,2013,6,24.4209668419578
12,Acre,2013,7,23.8589205308394
12,Acre,2013,8,24.3293038281527
12,Acre,2013,9,25.6887347481468
12,Acre,2013,10,25.343565420671
12,Acre,2013,11,25.0865142995661
12,Acre,2013,12,25.4410069205544
12,Acre,2014,1,24.5632937171243
12,Acre,2014,2,24.6430816650391
12,Acre,2014,3,24.6557947505604
12,Acre,2014,4,24.688177802346
12,Acre,2014,5,23.9844667261297
12,Acre,2014,6,23.9082203778354
12,Acre,2014,7,23.649432962591
12,Acre,2014,8,24.9969351508401
12,Acre,2014,9,26.2006777850064
12,Acre,2014,10,25.6361036300659
12,Acre,2014,11,25.110522963784
12,Acre,2014,12,25.0323669260198
12,Acre,2015,1,24.3530413887718
12,Acre,2015,2,24.9501652284102
12,Acre,2015,3,24.789459662004
12,Acre,2015,4,24.5856890244917
12,Acre,2015,5,24.0877075195313
12,Acre,2015,6,24.1980127854781
12,Acre,2015,7,24.4593143463135
12,Acre,2015,8,26.7053132490678
12,Acre,2015,9,27.058743910356
12,Acre,2015,10,27.001349882646
12,Acre,2015,11,26.1427861993963
12,Acre,2015,12,26.0319177454168
12,Acre,2016,1,26.4288242513483
12,Acre,2016,2,25.7783763191917
12,Acre,2016,3,25.5119242234664
12,Acre,2016,4,25.2813325361772
12,Acre,2016,5,24.5344858169556
12,Acre,2016,6,23.9757556048307
12,Acre,2016,7,25.7065189534968
12,Acre,2016,8,26.253420309587
12,Acre,2016,9,25.5820987007835
12,Acre,2016,10,25.7183341113004
12,Acre,2016,11,25.5064675591209
12,Acre,2016,12,25.4569340619174
12,Acre,2017,1,24.5005410801281
12,Acre,2017,2,24.9054434516213
12,Acre,2017,3,24.8559531298551
12,Acre,2017,4,24.8551613200795
12,Acre,2017,5,24.9272001439875
12,Acre,2017,6,23.8536148938266
12,Acre,2017,7,24.5614329251376
12,Acre,2017,8,26.3990263505416
12,Acre,2017,9,26.3908218903975
12,Acre,2017,10,26.14930378307
12,Acre,2017,11,25.4004127329046
